iter	Passed	Remaining
915	73665	6755
916	73734	6673
917	73809	6592
918	73888	6512
919	73974	6432
920	74038	6350
921	74103	6269
922	74192	6189
923	74290	6110
924	74370	6030
925	74452	5949
926	74530	5869
927	74621	5789
928	74691	5708
929	74760	5627
930	74833	5546
931	74913	5465
932	74995	5385
933	75089	5306
934	75153	5224
935	75246	5145
936	75337	5065
937	75422	4985
938	75487	4903
939	75564	4823
940	75638	4742
941	75716	4661
942	75804	4582
943	75877	4501
944	75940	4419
945	76024	4339
946	76110	4259
947	76186	4179
948	76269	4098
949	76349	4018
950	76410	3937
951	76494	3856
952	76566	3776
953	76641	3695
954	76720	3615
955	76790	3534
956	76868	3453
957	76955	3373
958	77051	3294
959	77140	3214
960	77235	3134
961	77324	3054
962	77395	2973
963	77491	2893
964	77574	2813
965	77653	2733
966	77718	2652
967	77788	2571
968	77872	2491
969	77936	2410
970	78024	2330
971	78113	2250
972	78202	2170
973	78297	2090
974	78386	2009
975	78461	1929
976	78557	1849
977	78636	1768
978	78711	1688
979	78802	1608
980	78884	1527
981	78967	1447
982	79055	1367
983	79136	1286
984	79228	1206
985	79307	1126
986	79377	1045
987	79470	965
988	79534	884
989	79613	804
990	79695	723
991	79768	643
992	79877	563
993	79968	482
994	80043	402
995	80128	321
996	80213	241
997	80310	160
998	80389	80
999	80450	0
